Date/Time,DOE [day],Meso label,Temp descr,Treat pCO2 [µatm],Temp [°C],Sal,pCO2 [µatm],[NO3]- + [NO2]- [µmol/l],[NH4]+ [µmol/l],TDN [µmol/l],Si(OH)4 [µmol/l],O2 [µmol/l],POC/PON [mol/mol],POC/POP,PON/POP
2014-08-31T00:00:00,-2,M7,cold,1000,16.2,18.8,,,,,,,,,
2014-09-01T00:00:00,-1,M7,cold,1000,15.5,18.8,357.0,1.66,1.34,3.0,19.02,0.63,9.66,72.53,6.44
2014-09-02T00:00:00,0,M7,cold,1000,15.2,19.0,,,,,,,,,
2014-09-03T00:00:00,1,M7,cold,1000,14.0,19.0,299.0,1.11,0.49,1.6,14.5,0.52,7.36,78.08,9.1
2014-09-04T00:00:00,2,M7,cold,1000,13.4,19.0,291.3,,,,,,,,
2014-09-05T00:00:00,3,M7,cold,1000,13.1,19.0,2779.0,1.87,0.4,2.27,12.49,0.49,6.3,66.12,9.0
2014-09-06T00:00:00,4,M7,cold,1000,13.0,19.1,,,,,,,,,
2014-09-07T00:00:00,5,M7,cold,1000,13.0,19.0,,,,,,,,,
2014-09-08T00:00:00,6,M7,cold,1000,12.9,19.1,1894.0,0.94,0.37,1.31,13.62,0.39,6.9,58.83,8.53
2014-09-09T00:00:00,7,M7,cold,1000,12.8,19.1,,,,,,,,,
2014-09-10T00:00:00,8,M7,cold,1000,12.8,19.1,1064.0,0.4,0.4,0.8,6.87,0.48,7.2,49.76,6.91
2014-09-11T00:00:00,9,M7,cold,1000,12.8,19.1,,,,,,,,,
2014-09-12T00:00:00,10,M7,cold,1000,12.8,19.1,963.0,0.97,0.43,1.4,10.52,0.41,6.41,30.57,4.09
2014-09-13T00:00:00,11,M7,cold,1000,12.8,19.1,,,,,,,,,
2014-09-14T00:00:00,12,M7,cold,1000,12.8,19.1,,,,,,,,,
2014-09-15T00:00:00,13,M7,cold,1000,12.9,19.1,651.0,0.45,0.46,0.91,7.49,0.36,7.62,39.95,4.5
2014-09-16T00:00:00,14,M7,cold,1000,12.9,19.1,,,,,,,,,
2014-09-17T00:00:00,15,M7,cold,1000,12.9,19.1,473.0,0.69,0.51,1.2,8.37,0.39,6.45,27.53,3.66
2014-09-18T00:00:00,16,M7,cold,1000,12.9,19.1,,,,,,,,,
2014-09-19T00:00:00,17,M7,cold,1000,12.9,19.1,1982.0,0.57,0.36,0.93,10.01,0.33,7.27,27.11,3.19
2014-09-20T00:00:00,18,M7,cold,1000,12.8,19.1,,,,,,,,,
2014-09-21T00:00:00,19,M7,cold,1000,12.8,19.1,,,,,,,,,
2014-09-22T00:00:00,20,M7,cold,1000,12.7,19.1,1712.0,0.67,0.35,1.02,10.6,0.26,6.87,21.17,2.64
2014-09-23T00:00:00,21,M7,cold,1000,12.7,19.1,,,,,,,,,
2014-09-24T00:00:00,22,M7,cold,1000,12.8,19.0,1197.0,0.62,0.34,0.96,11.47,0.24,6.3,28.41,3.86
2014-09-25T00:00:00,23,M7,cold,1000,12.8,19.1,,,,,,,,,
2014-09-26T00:00:00,24,M7,cold,1000,12.8,19.1,1062.0,0.55,0.38,0.93,9.71,0.24,,,
2014-08-29T00:00:00,-4,M8,cold,2500,17.1,18.8,988.0,0.88,0.37,1.25,12.41,0.82,10.07,21.07,1.79
2014-08-31T00:00:00,-2,M8,cold,2500,16.1,18.8,,,,,,,,,
2014-09-01T00:00:00,-1,M8,cold,2500,16.0,18.8,323.0,1.98,1.32,3.3,25.12,0.62,8.28,61.07,6.33
2014-09-02T00:00:00,0,M8,cold,2500,15.7,18.9,,,,,,,,,
2014-09-03T00:00:00,1,M8,cold,2500,14.7,18.9,320.0,1.38,1.52,2.9,13.6,0.56,4.77,67.06,12.06
2014-09-04T00:00:00,2,M8,cold,2500,14.1,18.9,312.0,,,,,,,,
2014-09-05T00:00:00,3,M8,cold,2500,13.6,18.9,6172.0,2.94,0.32,3.26,12.27,0.54,6.46,73.83,9.8
2014-09-06T00:00:00,4,M8,cold,2500,13.6,18.9,,,,,,,,,
2014-09-07T00:00:00,5,M8,cold,2500,13.5,18.9,,,,,,,,,
2014-09-08T00:00:00,6,M8,cold,2500,13.4,18.9,3775.0,0.74,0.4,1.14,11.47,0.38,6.53,52.14,7.98
2014-09-09T00:00:00,7,M8,cold,2500,13.3,18.9,,,,,,,,,
2014-09-10T00:00:00,8,M8,cold,2500,13.3,19.0,3420.0,0.25,0.34,0.59,6.59,0.38,7.24,44.38,6.13
2014-09-11T00:00:00,9,M8,cold,2500,13.3,19.0,,,,,,,,,
